Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:14:33 (+0000),36.5,46.16
2018/06/20-20:14:34 (+0000),36.625,46.16
2018/06/20-20:14:35 (+0000),36.687,45.622
2018/06/20-20:14:35 (+0000),36.812,46.16
2018/06/20-20:14:36 (+0000),36.937,45.622
2018/06/20-20:14:37 (+0000),37,45.084
2018/06/20-20:14:38 (+0000),37.125,45.622
2018/06/20-20:14:39 (+0000),37.187,45.622
2018/06/20-20:14:40 (+0000),37.25,45.622
2018/06/20-20:14:41 (+0000),37.312,46.16
2018/06/20-20:14:42 (+0000),37.437,46.16
2018/06/20-20:14:43 (+0000),37.5,45.622
2018/06/20-20:14:43 (+0000),37.562,46.16
2018/06/20-20:14:44 (+0000),37.625,46.16
2018/06/20-20:14:45 (+0000),37.687,45.622
2018/06/20-20:14:46 (+0000),37.75,45.622
2018/06/20-20:14:47 (+0000),37.812,46.16
2018/06/20-20:14:48 (+0000),37.875,46.16
2018/06/20-20:14:49 (+0000),37.937,45.622
2018/06/20-20:14:50 (+0000),38,45.084
2018/06/20-20:14:50 (+0000),38,46.16
2018/06/20-20:14:51 (+0000),38.062,45.084
2018/06/20-20:14:52 (+0000),38.125,46.16
2018/06/20-20:14:53 (+0000),38.187,46.16
2018/06/20-20:14:54 (+0000),38.187,45.622
2018/06/20-20:14:55 (+0000),38.25,45.084
2018/06/20-20:14:56 (+0000),38.312,46.16
2018/06/20-20:14:57 (+0000),38.312,45.622
2018/06/20-20:14:58 (+0000),38.375,45.084
2018/06/20-20:14:58 (+0000),38.437,46.16
2018/06/20-20:14:59 (+0000),38.437,45.622
2018/06/20-20:15:00 (+0000),38.5,46.16
2018/06/20-20:15:01 (+0000),38.5,45.622
2018/06/20-20:15:02 (+0000),38.562,46.16
2018/06/20-20:15:03 (+0000),38.562,46.16
2018/06/20-20:15:04 (+0000),38.625,46.16
2018/06/20-20:15:05 (+0000),38.625,45.084
2018/06/20-20:15:05 (+0000),38.687,45.622
2018/06/20-20:15:06 (+0000),38.687,45.622
2018/06/20-20:15:07 (+0000),38.75,45.084
2018/06/20-20:15:08 (+0000),38.75,46.16
2018/06/20-20:15:09 (+0000),38.812,46.16
2018/06/20-20:15:10 (+0000),38.812,45.622
2018/06/20-20:15:11 (+0000),38.875,45.622
2018/06/20-20:15:12 (+0000),38.875,46.16
2018/06/20-20:15:13 (+0000),38.937,45.084
2018/06/20-20:15:13 (+0000),38.937,46.16
2018/06/20-20:15:14 (+0000),38.937,45.622
2018/06/20-20:15:15 (+0000),39,45.084
2018/06/20-20:15:16 (+0000),39,46.16
2018/06/20-20:15:17 (+0000),39.062,46.16
2018/06/20-20:15:18 (+0000),39.062,45.622
2018/06/20-20:15:19 (+0000),39.062,45.622
2018/06/20-20:15:20 (+0000),39.125,45.084
2018/06/20-20:15:20 (+0000),39.125,45.622
2018/06/20-20:15:21 (+0000),39.125,46.16
2018/06/20-20:15:22 (+0000),39.187,46.16
2018/06/20-20:15:23 (+0000),39.187,45.622
2018/06/20-20:15:24 (+0000),39.187,46.16
2018/06/20-20:15:25 (+0000),39.25,45.622
2018/06/20-20:15:26 (+0000),39.25,45.622
2018/06/20-20:15:27 (+0000),39.25,45.622
2018/06/20-20:15:27 (+0000),39.312,45.622
2018/06/20-20:15:28 (+0000),39.312,46.16
2018/06/20-20:15:29 (+0000),39.312,45.622
2018/06/20-20:15:30 (+0000),39.375,45.622
2018/06/20-20:15:31 (+0000),39.375,46.16
2018/06/20-20:15:32 (+0000),39.375,46.16
2018/06/20-20:15:33 (+0000),39.437,46.16
2018/06/20-20:15:34 (+0000),39.437,45.622
2018/06/20-20:15:35 (+0000),39.437,46.16
2018/06/20-20:15:35 (+0000),39.5,45.622
2018/06/20-20:15:36 (+0000),39.5,46.16
2018/06/20-20:15:37 (+0000),39.5,46.16
2018/06/20-20:15:38 (+0000),39.5,46.16
2018/06/20-20:15:39 (+0000),39.5,46.16
2018/06/20-20:15:40 (+0000),39.562,45.622
2018/06/20-20:15:41 (+0000),39.562,46.16
2018/06/20-20:15:42 (+0000),39.562,45.622
2018/06/20-20:15:42 (+0000),39.625,45.622
2018/06/20-20:15:43 (+0000),39.625,46.16
2018/06/20-20:15:44 (+0000),39.625,45.622
2018/06/20-20:15:45 (+0000),39.687,46.16
2018/06/20-20:15:46 (+0000),39.687,46.16
2018/06/20-20:15:47 (+0000),39.687,45.622
2018/06/20-20:15:48 (+0000),39.687,45.622
2018/06/20-20:15:49 (+0000),39.75,46.16
2018/06/20-20:15:49 (+0000),39.75,46.16
2018/06/20-20:15:50 (+0000),39.75,46.16
2018/06/20-20:15:51 (+0000),39.75,45.622
2018/06/20-20:15:52 (+0000),39.812,45.084
2018/06/20-20:15:53 (+0000),39.812,46.16
2018/06/20-20:15:54 (+0000),39.812,46.16
2018/06/20-20:15:55 (+0000),39.812,46.16
2018/06/20-20:15:56 (+0000),39.875,45.622
2018/06/20-20:15:57 (+0000),39.875,45.622
2018/06/20-20:15:57 (+0000),39.875,45.622
2018/06/20-20:15:58 (+0000),39.875,46.16
2018/06/20-20:15:59 (+0000),39.875,45.622
2018/06/20-20:16:00 (+0000),39.937,46.16
2018/06/20-20:16:01 (+0000),39.937,45.622
2018/06/20-20:16:02 (+0000),39.937,46.16
2018/06/20-20:16:03 (+0000),39.937,45.622
2018/06/20-20:16:04 (+0000),40,45.622
2018/06/20-20:16:04 (+0000),40,46.16
2018/06/20-20:16:05 (+0000),40,45.622
2018/06/20-20:16:06 (+0000),40,46.16
2018/06/20-20:16:07 (+0000),40.062,45.084
2018/06/20-20:16:08 (+0000),40.062,45.084
2018/06/20-20:16:09 (+0000),40.062,46.16
2018/06/20-20:16:10 (+0000),40.062,46.16
2018/06/20-20:16:11 (+0000),40.125,46.16
2018/06/20-20:16:11 (+0000),40.125,46.16
2018/06/20-20:16:12 (+0000),40.125,46.16
2018/06/20-20:16:13 (+0000),40.125,46.16
2018/06/20-20:16:14 (+0000),40.125,45.622
2018/06/20-20:16:15 (+0000),40.187,46.16
2018/06/20-20:16:16 (+0000),40.187,46.16
2018/06/20-20:16:17 (+0000),40.187,46.16
2018/06/20-20:16:18 (+0000),40.187,45.622
2018/06/20-20:16:19 (+0000),40.187,45.622
2018/06/20-20:16:19 (+0000),40.25,45.084
2018/06/20-20:16:20 (+0000),40.25,45.622
