Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:28:15 (+0000),47.375,48.312
2018/06/20-20:28:16 (+0000),47.375,48.85
2018/06/20-20:28:17 (+0000),47.375,48.312
2018/06/20-20:28:18 (+0000),47.437,48.312
2018/06/20-20:28:19 (+0000),47.437,48.312
2018/06/20-20:28:20 (+0000),47.437,49.388
2018/06/20-20:28:21 (+0000),47.437,48.85
2018/06/20-20:28:21 (+0000),47.5,48.312
2018/06/20-20:28:22 (+0000),47.5,48.312
2018/06/20-20:28:23 (+0000),47.5,48.85
2018/06/20-20:28:24 (+0000),47.5,48.85
2018/06/20-20:28:25 (+0000),47.5,48.85
2018/06/20-20:28:26 (+0000),47.5,48.85
2018/06/20-20:28:27 (+0000),47.5,48.85
2018/06/20-20:28:28 (+0000),47.562,48.312
2018/06/20-20:28:28 (+0000),47.562,48.85
2018/06/20-20:28:29 (+0000),47.562,48.85
2018/06/20-20:28:30 (+0000),47.562,48.85
2018/06/20-20:28:31 (+0000),47.562,49.388
2018/06/20-20:28:32 (+0000),47.562,48.312
2018/06/20-20:28:33 (+0000),47.625,48.312
2018/06/20-20:28:34 (+0000),47.625,49.388
2018/06/20-20:28:35 (+0000),47.625,49.388
2018/06/20-20:28:35 (+0000),47.625,49.388
2018/06/20-20:28:36 (+0000),47.625,48.312
2018/06/20-20:28:37 (+0000),47.625,48.85
2018/06/20-20:28:38 (+0000),47.625,48.312
2018/06/20-20:28:39 (+0000),47.687,48.312
2018/06/20-20:28:40 (+0000),47.687,48.85
2018/06/20-20:28:41 (+0000),47.687,49.388
2018/06/20-20:28:42 (+0000),47.687,49.388
2018/06/20-20:28:43 (+0000),47.687,48.312
2018/06/20-20:28:43 (+0000),47.687,49.388
2018/06/20-20:28:44 (+0000),47.687,48.85
2018/06/20-20:28:45 (+0000),47.75,49.388
2018/06/20-20:28:46 (+0000),47.75,48.312
2018/06/20-20:28:47 (+0000),47.75,48.312
2018/06/20-20:28:48 (+0000),47.75,48.85
2018/06/20-20:28:49 (+0000),47.75,48.85
2018/06/20-20:28:50 (+0000),47.75,48.312
2018/06/20-20:28:51 (+0000),47.812,49.388
2018/06/20-20:28:51 (+0000),47.812,48.85
2018/06/20-20:28:52 (+0000),47.812,48.85
2018/06/20-20:28:53 (+0000),47.812,49.388
2018/06/20-20:28:54 (+0000),47.812,48.85
2018/06/20-20:28:55 (+0000),47.812,49.388
2018/06/20-20:28:56 (+0000),47.875,48.312
2018/06/20-20:28:57 (+0000),47.812,48.85
2018/06/20-20:28:58 (+0000),47.812,48.85
2018/06/20-20:28:58 (+0000),47.875,48.85
2018/06/20-20:28:59 (+0000),47.875,48.85
2018/06/20-20:29:00 (+0000),47.875,48.312
2018/06/20-20:29:01 (+0000),47.875,49.388
2018/06/20-20:29:02 (+0000),47.875,48.312
2018/06/20-20:29:03 (+0000),47.875,48.85
2018/06/20-20:29:04 (+0000),47.937,48.312
2018/06/20-20:29:05 (+0000),47.937,48.312
2018/06/20-20:29:05 (+0000),47.937,49.388
2018/06/20-20:29:06 (+0000),47.937,49.388
2018/06/20-20:29:07 (+0000),47.937,48.312
2018/06/20-20:29:08 (+0000),47.937,48.85
2018/06/20-20:29:09 (+0000),47.937,48.85
2018/06/20-20:29:10 (+0000),48,48.85
2018/06/20-20:29:11 (+0000),48,48.312
2018/06/20-20:29:12 (+0000),48,48.85
2018/06/20-20:29:13 (+0000),48,48.85
2018/06/20-20:29:13 (+0000),48,48.85
2018/06/20-20:29:14 (+0000),48,49.388
2018/06/20-20:29:15 (+0000),48,48.312
2018/06/20-20:29:16 (+0000),48,48.312
2018/06/20-20:29:17 (+0000),48.062,48.312
2018/06/20-20:29:18 (+0000),48.062,49.388
2018/06/20-20:29:19 (+0000),48.062,48.312
2018/06/20-20:29:20 (+0000),48.062,48.85
2018/06/20-20:29:20 (+0000),48.062,48.85
2018/06/20-20:29:21 (+0000),48.062,49.388
2018/06/20-20:29:22 (+0000),48.062,49.388
2018/06/20-20:29:23 (+0000),48.062,48.85
2018/06/20-20:29:24 (+0000),48.125,48.312
2018/06/20-20:29:25 (+0000),48.125,49.388
2018/06/20-20:29:26 (+0000),48.125,48.312
2018/06/20-20:29:27 (+0000),48.125,48.85
2018/06/20-20:29:27 (+0000),48.125,49.388
2018/06/20-20:29:28 (+0000),48.125,48.85
2018/06/20-20:29:29 (+0000),48.125,49.388
2018/06/20-20:29:30 (+0000),48.125,48.312
2018/06/20-20:29:31 (+0000),48.187,48.85
2018/06/20-20:29:32 (+0000),48.187,48.85
2018/06/20-20:29:33 (+0000),48.187,48.312
2018/06/20-20:29:34 (+0000),48.187,48.312
2018/06/20-20:29:35 (+0000),48.187,49.388
2018/06/20-20:29:35 (+0000),48.187,48.85
2018/06/20-20:29:36 (+0000),48.187,49.388
2018/06/20-20:29:37 (+0000),48.25,48.312
2018/06/20-20:29:38 (+0000),48.25,49.388
2018/06/20-20:29:39 (+0000),48.25,48.85
2018/06/20-20:29:40 (+0000),48.25,48.85
2018/06/20-20:29:41 (+0000),48.25,48.85
2018/06/20-20:29:42 (+0000),48.25,49.388
2018/06/20-20:29:42 (+0000),48.25,49.388
2018/06/20-20:29:43 (+0000),48.25,49.388
2018/06/20-20:29:44 (+0000),48.312,48.85
2018/06/20-20:29:45 (+0000),48.25,49.388
2018/06/20-20:29:46 (+0000),48.312,49.388
2018/06/20-20:29:47 (+0000),48.312,49.388
2018/06/20-20:29:48 (+0000),48.312,48.85
2018/06/20-20:29:49 (+0000),48.312,49.388
2018/06/20-20:29:49 (+0000),48.312,48.312
2018/06/20-20:29:50 (+0000),48.375,49.388
2018/06/20-20:29:51 (+0000),48.312,48.85
2018/06/20-20:29:52 (+0000),48.375,49.388
2018/06/20-20:29:53 (+0000),48.375,49.388
2018/06/20-20:29:54 (+0000),48.375,48.85
2018/06/20-20:29:55 (+0000),48.375,49.388
2018/06/20-20:29:56 (+0000),48.375,49.388
2018/06/20-20:29:57 (+0000),48.375,48.312
2018/06/20-20:29:57 (+0000),48.375,48.85
2018/06/20-20:29:58 (+0000),48.375,49.388
2018/06/20-20:29:59 (+0000),48.437,48.85
2018/06/20-20:30:00 (+0000),48.437,48.312
2018/06/20-20:30:01 (+0000),48.437,49.388
2018/06/20-20:30:02 (+0000),48.437,49.388
2018/06/20-20:30:03 (+0000),48.437,48.312
2018/06/20-20:30:04 (+0000),48.437,48.312
2018/06/20-20:30:04 (+0000),48.437,49.388
2018/06/20-20:30:05 (+0000),48.437,49.388
2018/06/20-20:30:06 (+0000),48.437,49.388
2018/06/20-20:30:07 (+0000),48.437,49.388
2018/06/20-20:30:08 (+0000),48.5,49.388
2018/06/20-20:30:09 (+0000),48.5,48.85
2018/06/20-20:30:10 (+0000),48.5,49.388
2018/06/20-20:30:11 (+0000),48.5,49.388
2018/06/20-20:30:12 (+0000),48.5,49.388
2018/06/20-20:30:12 (+0000),48.5,49.388
2018/06/20-20:30:13 (+0000),48.5,49.388
2018/06/20-20:30:14 (+0000),48.5,49.388
2018/06/20-20:30:15 (+0000),48.562,48.312
2018/06/20-20:30:16 (+0000),48.562,48.312
2018/06/20-20:30:17 (+0000),48.562,48.85
2018/06/20-20:30:18 (+0000),48.562,49.388
2018/06/20-20:30:19 (+0000),48.562,49.388
2018/06/20-20:30:19 (+0000),48.562,48.312
2018/06/20-20:30:20 (+0000),48.562,48.85
2018/06/20-20:30:21 (+0000),48.562,48.312
2018/06/20-20:30:22 (+0000),48.625,49.388
2018/06/20-20:30:23 (+0000),48.625,48.85
2018/06/20-20:30:24 (+0000),48.625,49.388
2018/06/20-20:30:25 (+0000),48.625,49.388
2018/06/20-20:30:26 (+0000),48.625,49.388
2018/06/20-20:30:27 (+0000),48.625,49.388
2018/06/20-20:30:27 (+0000),48.625,48.85
2018/06/20-20:30:28 (+0000),48.625,48.85
2018/06/20-20:30:29 (+0000),48.625,49.388
2018/06/20-20:30:30 (+0000),48.625,49.388
2018/06/20-20:30:31 (+0000),48.625,49.388
2018/06/20-20:30:32 (+0000),48.687,49.388
2018/06/20-20:30:33 (+0000),48.687,48.312
2018/06/20-20:30:34 (+0000),48.687,49.388
2018/06/20-20:30:34 (+0000),48.687,49.388
2018/06/20-20:30:35 (+0000),48.687,49.388
2018/06/20-20:30:36 (+0000),48.687,49.388
2018/06/20-20:30:37 (+0000),48.687,49.388
2018/06/20-20:30:38 (+0000),48.687,48.85
2018/06/20-20:30:39 (+0000),48.687,49.388
